data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8790132,804,UKR50724,50724,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Horlivskyi,Yenakiievska,Staropetrivske,48.2131,38.1527,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 10 explosions/bursts of fire involving heavy machineguns/unknown weapons near Staropetrivske.",0,1642524193,UKR
8790136,804,UKR50728,50728,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Volnovaskyi,Olhynska,Viktorivka,47.6354,37.8086,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 64 bursts of fire involving heavy machineguns near Viktorivka.",0,1642524193,UKR
8790144,804,UKR50654,50654,2022-01-13,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya",,2,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Vodyane,47.1478,37.7881,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 16 projectiles involving unknown weapons in both directions of the frontline near Vodyane.",0,1642524193,UKR
8790158,804,UKR50729,50729,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,"Verhunskyi Rozyizd",48.6406,39.4045,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 77 explosions/bursts of fire involving heavy machineguns/unknown weapons near Verhunskyi Rozyizd.",0,1642524193,UKR
8790167,804,UKR50726,50726,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,Sabivka,48.5883,39.1460,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 35 explosions involving unknown weapons near Sabivka.",0,1642524193,UKR
8790172,804,UKR50767,50767,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Orikhove,48.7191,38.5695,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 1 projectiles involving unknown weapons near Orikhove.",0,1642524193,UKR
8790173,804,UKR50771,50771,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Novotoshkivske,48.7234,38.6350,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 98 explosions/bursts of fire involving heavy machineguns/unknown weapons near Novotoshkivske.",0,1642524193,UKR
8789907,804,UKR50640,50640,2022-01-12,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Molodizhne,48.6433,38.4768,2,"OSCE SMM-Ukraine; LPR People's Militia Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers and small arms at the positions of the Luhansk People's Militia near Molodizhne, Luhansk. There were no injuries or fatalities. The OSCE SMM observed a total of 33 explosions/shots/bursts of fire involving small arms/heavy machineguns/unknown weapons near Molodizhne.",0,1642524192,UKR
8789914,804,UKR50693,50693,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Kominternove,47.1745,37.8110,2,"DPR Armed Forces Press Service; OSCE SMM-Ukraine",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia near Kominternove, Donetsk. Casualties unknown. The OSCE SMM observed a total of 18 projectiles involving unknown weapons near Kominternove.",0,1642524192,UKR
8789918,804,UKR50683,50683,2022-01-12,2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.5710,1,"24 Channel",National,"On 12 January 2022, people protested in Mariupol against the mass power outages for the New Year and Christmas holidays. [size=no report]",0,1642524192,UKR
8789985,804,UKR50696,50696,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Sakhanka,47.1272,37.8601,2,"DPR Armed Forces Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia near Sakhanka, Donetsk. Casualties unknown.",0,1642524192,UKR
8789986,804,UKR50637,50637,2022-01-12,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Kramatorskyi,Konstantinovskaya,"Mine 6/7",48.3767,37.9636,2,"DPR Armed Forces Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers and small arms at the positions of the Donbass People's Militia near Mine 6/7, Donetsk. Casualties unknown.",0,1642524192,UKR
8789994,804,UKR50692,50692,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Bairak,48.3162,38.1320,2,"DPR Armed Forces Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia near Bairak, Donetsk. Casualties unknown.",0,1642524192,UKR
8789996,804,UKR50694,50694,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,"Novaya Tavriya",47.1722,37.8538,2,"DPR Armed Forces Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia near Novaya Tavriya, Donetsk. Casualties unknown.",0,1642524192,UKR
